word|reading|jlpt_level|jlpt_level_raw|tags
始発|しはつ|N1|N1|n
出来上がる|できあがる|N2|N2|v5r vi
コンクール|コンクール|N3|N3|n
凝る|こごる|N2|N2|v5r vi
凝る|しこる||NUNCLASSIFIED|v5r vi
凝る|こる||NA5|v5r vi
ひっくり返す|ひっくりかえす|N3|N3|v5s vt
ストレス|ストレス|N5|N5|n
心的外傷後ストレス障害|しんてきがいしょうごすとれるしょうがい||NA16|n
本気で|ほんきで||NA1|adv
本気|ほんき|N2|N2|n adj-no adj-na
一本気|いっぽんぎ||NA2|adj-na n
本気にする|ほんきにする||NA1|exp vs-i
本気を出す|ほんきをだす||NA3|exp v5s
退かす|どかす||NA9|v5s vt
申し込み|もうしこみ|N4|N4|n
正社員|せいしゃいん||NA10|n
追い越す|おいこす|N2|N2|v5s vt
にわか雨|にわかあめ||NA14|n
フライパン|フライパン|N3|N3|n
不景気|ふけいき|N1|N1|n adj-na
個性|こせい|N2|N2|n
個性豊か|こせいゆたか||NA8|adj-na
個性的|こせいてき||NA6|adj-na
甘やかす|あまやかす|N2|N2|v5s vt
名札|なふだ|N2|N2|n
乗り越す|のりこす||NA20|v5s vt
乗車券|じょうしゃけん|N5|N5|n
乗車|じょうしゃ|N2|N2|n vs vi
行列|ぎょうれつ|N2|N2|n vs
仮装行列|かそうぎょうれつ||NA13|n
恋愛|れんあい|N2|N2|n vs vi adj-no
貰える|もらえる||NA19|v1
太め|ふとめ||NA7|adj-no adj-na n
言える|いえる||NUNCLASSIFIED|v1 exp
今だから言える|いまだからいえる||NA3|exp
残り物|のこりもの||NUNCLASSIFIED|n
特売|とくばい|N2|N2|n vs vt
思い切る|おもいきる||NA4|v5r vt vi
からから|からから||NA7|adj-na adj-no adv adv-to
送金|そうきん|N2|N2|n vs vt vi
ぶらぶら|ぶらぶら|N1|N1|adv adv-to vs adj-na
風が吹けば桶屋が儲かる|かぜがふけばおけやがもうかる||NA10|exp v5r
儲かる|もうかる|N3|N3|v5r vi
発生|はっせい|N1|N1|n vs vi vt
怠い|だるい|N1|N1|adj-i
取り消す|とりけす|N2|N2|v5s vt
気軽|きがる|N2|N2|adj-na n
気軽に|きがるに|N1|N1|adv
下書き|したがき|N2|N2|n vs
騒々しい|そうぞうしい|N2|N2|adj-i
優先|ゆうせん|N1|N1|n vs vt vi adj-no
優先席|ゆうせんせき||NA2|n
時間割|じかんわり|N2|N2|n
自習|じしゅう|N2|N2|n vs vt vi
切っ掛け|きっかけ|N3|N3|n
入館|にゅうかん||NUNCLASSIFIED|n vs
入館料|にゅうかんりょう||NA5|n
冬日|ふゆび||NUNCLASSIFIED|n
早速|さっそく|N2|N2|adv
早速ですが|さっそくですが||NA11|exp
勤務|きんむ|N1|N1|n vs vi
勤務時間|きんむじかん||NA8|n
在宅勤務|ざいたくきんむ||NA10|n
仕上げる|しあげる|N2|N2|v1 vt
更新|こうしん|N1|N1|n vs vt vi
調味料|ちょうみりょう|N2|N2|n
蛇口|じゃぐち|N2|N2|n
しゃっくり|しゃっくり|N3|N3|n vs vi
吐き気|はきけ|N2|N2|n
吐き気がする|はきけがする||NA11|exp vs-i
余る|あまる|N2|N2|v5r vi
身に余る光栄|みにあまるこうえい||NA3|exp
身に余る|みにあまる|N1|N1|exp v5r
手に余る|てにあまる||NA13|exp v5r
思い余る|おもいあまる||NA1|v5r vi
有り余る|ありあまる||NA12|v5r vi
勢い余る|いきおいあまる||NA8|exp v5r
裸足|はだし|N2|N2|n adj-no n-suf
慌ただしい|あわただしい|N2|N2|adj-i
工事|こうじ|N3|N3|n vs vt vi
電源を入れる|でんげんをいれる||NA1|exp v1
電源|でんげん|N1|N1|n
足し算|たしざん|N2|N2|n
以降|いこう|N2|N2|n adv
日帰り|ひがえり|N2|N2|n vs vi
薄暗い|うすぐらい|N2|N2|adj-i
お姫様抱っこ|おひめさまだっこ||NA9|n vs vt
だっこ紐|だっこひも||NA9|n
抱っこ|だっこ||NA9|n vs vt int
受験生|じゅけんせい|N1|N1|n
見合い結婚|みあいけっこん||NA9|n
見合い|みあい|N2|N2|n vs vi
お見合い|おみあい||NA9|n vs vi
給食|きゅうしょく|N1|N1|n vs vi
性格|せいかく|N5|N5|n
廃棄|はいき|N1|N1|n vs vt
非表示|ひひょうじ|N1|N1|adj-f n vs
ばらつき|ばらつき||NA16|n
駆け回る|かけまわる||NA18|v5r vi
さくさく|サクサク||NA1|adv adv-to vs
分かれる|わかれる|N4|N4|v1 vi
片付ける|かたづける|N4|N4|v1 vt
追い落とす|おいおとす||NA13|v5s
バラバラ|バラバラ||NA1|adj-na adj-no adv vs
ひそひそ話|ひそひそばなし||NA1|n
論争|ろんそう|N3|N3|n vs vi
公開|こうかい|N5|N5|n vs vt
床の間|とこのま|N2|N2|n
性質|せいしつ|N2|N2|n
争い|あらそい|N2|N2|n
分散|ぶんさん|N2|N2|n vs vt vi
機嫌を損ねる|きげんをそこねる||NA13|exp v1
格差|かくさ|N1|N1|n
抗争|こうそう|N1|N1|n vs vi
差異|さい|N1|N1|n
出動|しゅつどう|N1|N1|n vs vi
小声|こごえ|N1|N1|n adj-no
陳列|ちんれつ|N1|N1|n vs vt
配置|はいち|N1|N1|n vs vt
飛散|ひさん|N1|N1|n vs vi
私語|しご||NA1|n vs vi
資質|ししつ||NA2|n
出展|しゅってん||NA2|n vs vt
傾ぐ|かしぐ||NA17|v5g vi
天性|てんせい||NA2|n adv
怒らせる|おこらせる||NA17|v1 vt
気心|きごころ||NA4|n
隊形|たいけい||NA4|n
見せる|みせる|N5|N5|v1 vt aux-v
調合|ちょうごう||NA4|n vs vt
売却|ばいきゃく||NA4|n vs vt
毛色|けいろ||NA4|n
医局|いきょく||NA5|n
広域|こういき||NA10|n
ギャップ|ギャップ||NA7|n
焼け焦げる|やけこげる||NA20|v1
処分場|しょぶんじょう||NA10|n
論|ろん||NA20|n n-suf
ぶっ飛ばす|ぶっとばす||NA20|v5s vt
譲る|ゆずる||NA1|v5r vt
即売会|そくばいかい||NA11|n
調剤|ちょうざい||NA12|n vs vt vi
投げ捨てる|なげすてる||NA18|v1 vt
伝令|でんれい||NA13|n
表す|あらわす|N4|N4|v5s vt
水盤|すいばん||NA14|n
払拭|ふっしょく||NA14|n vs vt
一家離散|いっかりさん||NA15|n vs
置換|ちかん||NA15|n vs
離散|りさん||NA15|n vs vi
解く|とく|N3|N3|v5k vt
巡る|めぐる|N3|N3|v5r vi
悄気る|しょげる||NA17|v1 vi
囁く|ささやく|N3|N3|v5k vi
奪う|うばう|N3|N3|v5u vt
傾く|かたむく|N3|N3|v5k vi
不満|ふまん|N3|N3|n adj-na
立派|りっぱ|N3|N3|adj-na
不快感|ふかいかん||NA20|n
冴える|さえる|N2|N2|v1 vi
映る|うつる|N2|N2|v5r vi
散る|ちる|N2|N2|v5r vi
尖る|とがる|N3|N3|v5r vi
披露|ひろう||NA5|n vs vt
医院|いいん||NA2|n
覆す|くつがえす|N1|N1|v5s vt
意気|いき|N1|N1|n
揉める|もめる|N2|N2|v1 vi
体裁|ていさい|N2|N2|n
疑わしい|うたがわしい|N1|N1|adj-i
議論|ぎろん|N3|N3|n vs vt
不可欠|ふかけつ|N2|N2|adj-na n
発揮|はっき|N3|N3|n vs vt
内緒話|||NE1|
体質|たいしつ||NA2|n
肌|はだ|N3|N3|n n-suf
呈す|ていす||NA2|v5s vt
割り箸|わりばし||NA3|n
不均衡|||NE1|
見栄|みえ|N1|N1|n
心持ち|こころもち||NA3|n adv
気象|きしょう|N3|N3|n
処理|しょり|N3|N3|n vs vt
