word|kana|jlpt_level
青|あお|N5
お寺|おてら|N5
お皿|おさら|N5
お礼|おれい|N5
お茶|おちゃ|N5
お酒|おさけ|N5
お金|おかね|N5
塩|しお|N5
王|おう|N5
顔|かお|N5
お腹|おなか|N5
押す|おす|N5
置く|おく|N5
女|おんな|N5
お土産|おみやげ|N5
お祭り|おまつり|N5
お菓子|おかし|N5
お返事|おへんじ|N5
お風呂|おふろ|N5
八百屋|やおや|N5
気温|きおん|N5
泳ぐ|およぐ|N5
思う|おもう|N5
起きる|おきる|N5
終わり|おわり|N5
青い|あおい|N5
お弁当|おべんとう|N5
同じ|おなじ|N5
お正月|おしょうがつ|N5
大人|おとな|N5
落ちる|おちる|N5
終わる|おわる|N5
踊る|おどる|N5
送る|おくる|N5
怒る|おこる|N5
落とす|おとす|N5
降りる|おりる|N5
遠い|とおい|N5
遅い|おそい|N5
多い|おおい|N5
遅く|おそく|N5
お休み|おやすみ|N5
男|おとこ|N5
お元気で|おげんきで|N5
お兄さん|おにいさん|N5
お大事に|おだいじに|N5
お姉さん|おねえさん|N5
お手洗い|おてあらい|N5
おはよう|good morning|N5
お父さん|おとうさん|N5
一昨年|おととし|N5
大勢|おおぜい|N5
往復|おうふく|N5
教える|おしえる|N5
温泉|おんせん|N5
覚える|おぼえる|N5
発音|はつおん|N5
大きな|おおきな|N5
大きい|おおきい|N5
美味しい|おいしい|N5
音楽|おんがく|N5
玩具|おもちゃ|N5
お母さん|おかあさん|N5
お金持ち|おかねもち|N5
一昨日|おととい|N5
奥さん|おくさん|N5
弟|おとうと|N5
お地蔵さん|おじぞうさん|N5
お巡りさん|おまわりさん|N5
お祖母さん|おばあさん|N5
お祖父さん|おじいさん|N5
女の子|おんなのこ|N5
お腹が空く|おなかがすく|N5
男の子|おとこのこ|N5
面白い|おもしろい|N5
遅くなる|おそくなる|N5
お帰りなさい|おかえりなさい|N5
青信号|あおしんごう|N5
男の人|おとこのひと|N5
お願いします|おねがいします|N5
お風呂に入る|おふろにはいる|N5
女の人|おんなのひと|N5
おはようございます|good morning|N5
よろしくお願いします|よろしくおねがいします|N5
母|はは|N5
もう直ぐ|もうすぐ|N5
指|ゆび|N5
魚|さかな|N5
両親|りょうしん|N5
合う|あう|N5
黄色|きいろ|N5
弁当|べんとう|N5
お蔭|おかげ|N4
お尻|おしり|N4
お湯|おゆ|N4
お餅|おもち|N4
音|おと|N4
折る|おる|N4
お宅|おたく|N4
お城|おしろ|N4
親|おや|N4
億|おく|N4
居る|おる|N4
お祈り|おいのり|N4
お守り|おまもり|N4
お祝い|おいわい|N4
お釣り|おつり|N4
お饅頭|おまんじゅう|N4
記憶|きおく|N4
起こる|おこる|N4
治す|なおす|N4
折れる|おれる|N4
多く|おおく|N4
匂い|におい|N4
奢る|おごる|N4
お陰で|おかげで|N4
お帰り|おかえり|N4
おやつ|between-meal snack, mid-afternoon (around 3 o'clock) snack, afternoon refreshment, afternoon tea, sweets, snack|N4
お返し|おかえし|N4
遠く|とおく|N4
王子|おうじ|N4
直す|なおす|N4
表|おもて|N4
踊り|おどり|N4
下ろす|おろす|N4
治る|なおる|N4
起こす|おこす|N4
直る|なおる|N4
通る|とおる|N4
夫|おっと|N4
お願い|おねがい|N4
お振込|おふりこみ|N4
重い|おもい|N4
主に|おもに|N4
おじさん|uncle, old man, mister, manybar goatfish (Parupeneus multifasciatus)|N4
おしゃれ|smartly dressed, stylish, fashion-conscious, someone smartly dressed, to dress up, to be fashionable|N4
おにぎり|onigiri, rice ball (often triangular, sometimes with a filling and wrapped in nori)|N4
お陰様で|おかげさまで|N4
お客さん|おきゃくさん|N4
お出掛け|おでかけ|N4
お疲れ様|おつかれさま|N4
奥様|おくさま|N4
押し入れ|おしいれ|N4
可笑しい|おかしい|N4
顔文字|かおもじ|N4
大きさ|おおきさ|N4
遅れる|おくれる|N4
おばさん|aunt|N4
お子さん|おこさん|N4
お嬢さん|おじょうさん|N4
思い出|おもいで|N4
驚く|おどろく|N4
行う|おこなう|N4
倒れる|たおれる|N4
落ち込む|おちこむ|N4
父親|ちちおや|N4
お見舞い|おみまい|N4
お気の毒に|おきのどくに|N4
お腹を壊す|おなかをこわす|N4
はたを織る|はたをおる|N4
泳ぎ方|およぎかた|N4
屋上|おくじょう|N4
贈り物|おくりもの|N4
放っておく|ほうっておく|N4
盆踊り|ぼんおどり|N4
お預け入れ|おあずけいれ|N4
仰っしゃる|おっしゃる|N4
思い出す|おもいだす|N4
大家さん|おおやさん|N4
お引き出し|おひきだし|N4
お湯が沸く|おゆがわく|N4
お休みなさい|おやすみなさい|N4
お出でになる|おいでになる|N4
〜顔をする|〜 かおをする|N4
お休みになる|おやすみになる|N4
体温計|たいおんけい|N4
お世話になる|おせわになる|N4
時間通り|じかんどおり|N4
待ち遠しい|まちどおしい|N4
乗り遅れる|のりおくれる|N4
顔が青い|かおがあおい|N4
お湯を沸かす|おゆをわかす|N4
お先に失礼します|おさきにしつれいします|N4
おめでとうございます|congratulations|N4
よろしくお伝えください|よろしくおつたえください|N4
祖父|そふ|N4
祖母|そぼ|N4
御|お|N3
雄|おす|N3
丘|おか|N3
尚|なお|N3
帯|おび|N3
叔父|おじ|N3
甥|おい|N3
追う|おう|N3
おや|oh!, oh?, my!|N3
鬼|おに|N3
汚染|おせん|N3
通り|とおり|N3
扇ぐ|あおぐ|N3
贈る|おくる|N3
匂う|におう|N3
素直|すなお|N3
お互い|おたがい|N3
御数|おかず|N3
香り|かおり|N3
氷|こおり|N3
終える|おえる|N3
お先に|おさきに|N3
温度|おんど|N3
笑顔|えがお|N3
凡そ|およそ|N3
お喋り|おしゃべり|N3
応用|おうよう|N3
温室|おんしつ|N3
催し|もよおし|N3
小母さん|おばさん|N3
見下ろす|みおろす|N3
応じる|おうじる|N3
押さえる|おさえる|N3
溺れる|おぼれる|N3
真っ青|まっさお|N3
勢い|いきおい|N3
大凡|おおよそ|N3
母親|ははおや|N3
見送る|みおくる|N3
一応|いちおう|N3
応援|おうえん|N3
