word|kana|jlpt_level
あくび||N3
あちこち||N3
あっ||N3
あれこれ||N3
いたずら||N3
いつでも||N3
いつまでも||N3
いよいよ||N3
いらっしゃい||N3
いわゆる||N3
うがい||N3
うっかり||N3
うどん||N3
うろうろ||N3
おや||N3
お互|たが|N3
お代|か|N3
お喋|しゃべ|N3
お待|ま|N3
お手伝|てつだ|N3
お掛|か|N3
お構|かま|N3
お目|め|N3
お邪魔|じゃま|N3
かなり||N3
かも知|し|N3
からかう||N3
ぎっしり||N3
くっ付|つ|N3
くれぐれも||N3
こう||N3
こうして||N3
こしらえる||N3
こちらこそ||N3
こっそり||N3
ご免|めん|N3
ご無沙汰|ぶさた|N3
さっき||N3
さっぱり||N3
さて||N3
ざっと||N3
しかも||N3
しつこい||N3
しばしば||N3
しみじみ||N3
しゃがむ||N3
しゃっくり||N3
しゃぶる||N3
しゃれ||N3
じっと||N3
じゃん拳|けん|N3
すっきり||N3
すり||N3
すれ違|ちが|N3
ずらり||N3
ずれる||N3
せっせと||N3
せめて||N3
そうして||N3
そう言|い|N3
そこで||N3
そそっかしい||N3
そっくり||N3
そっと||N3
そのまま||N3
その上|うえ|N3
その内|うち|N3
それでも||N3
それと||N3
それとも||N3
それなのに||N3
それなら||N3
たっぷり||N3
ためらう||N3
ため息|いき|N3
だが||N3
だけど||N3
だって||N3
だらし無|な|N3
ちゃんと||N3
ちり||N3
ちり紙|がみ|N3
ですから||N3
でたらめ||N3
ともかく||N3
とんでも無|な|N3
どうしても||N3
どうせ||N3
どこか||N3
どっと||N3
なぜなら||N3
にっこり||N3
ねじ||N3
のろのろ||N3
のんき||N3
のんびり||N3
はきはき||N3
はやり||N3
はやる||N3
ばったり||N3
ひっくり返|かえ|N3
ぴかぴか||N3
ぴったり||N3
ふざける||N3
ぶつぶつ||N3
ぶら下|さ|N3
へそ||N3
ほこり||N3
ぼろ||N3
ぼんやり||N3
まあ||N3
まごまご||N3
まさか||N3
まとまる||N3
まとめる||N3
まぶた||N3
めっきり||N3
もしかしたら||N3
もしかすると||N3
もたれる||N3
やむを得|え|N3
やや||N3
ようやく||N3
より||N3
よる||N3
よると||N3
れんが||N3
わがまま||N3
アウト||N3
アクセント||N3
アンテナ||N3
イコール||N3
インク||N3
インタビュー||N3
ウイスキー||N3
ウェイトレス||N3
ウーマン||N3
ウール||N3
エチケット||N3
エプロン||N3
エンジン||N3
オイル||N3
オフィス||N3
オルガン||N3
オーケストラ||N3
オートメーション||N3
オーバー||N3
オーバーコート||N3
カセット||N3
カバー||N3
カロリー||N3
カー||N3
カーブ||N3
ガム||N3
キャプテン||N3
キャンパス||N3
ギャング||N3
クラシック||N3
クリーニング||N3
クリーム||N3
クーラー||N3
グラウンド||N3
コック||N3
コレラ||N3
コンクリート||N3
コンクール||N3
コード||N3
コーラス||N3
ゴム||N3
ゴール||N3
サイレン||N3
サンプル||N3
サービス||N3
シャッター||N3
シーズン||N3
シーツ||N3
ジェット機|き|N3
スケジュール||N3
スケート||N3
スタイル||N3
スタンド||N3
スター||N3
スタート||N3
スチュワーデス||N3
ステージ||N3
ストッキング||N3
スピーカー||N3
スマート||N3
スライド||N3
セメント||N3
センター||N3
ゼミ||N3
タイプライター||N3
タイヤ||N3
ダイアグラム||N3
ダイヤ||N3
ダイヤモンド||N3
ダイヤル||N3
ダム||N3
チャンス||N3
チョーク||N3
チーズ||N3
チーム||N3
テニスコート||N3
テント||N3
テンポ||N3
テーマ||N3
デモ||N3
トップ||N3
トラック||N3
トランプ||N3
トレーニング||N3
トンネル||N3
ドキドキ||N3
ドラマ||N3
ドレス||N3
ナイロン||N3
ナンバー||N3
ネックレス||N3
ノック||N3
ハンサム||N3
ハンドル||N3
ハンバーグ||N3
バイオリン||N3
