word|jlpt_level|source
あげる|N5|waller
あした|N5|waller
あと|N5|waller
ありがとう|N5|bunpro
いえ|N5|waller
いく|N5|waller
いただきます|N5|bunpro
いち|N5|waller
いつか|N5|waller
うるさい|N5|waller
うん|N5|bunpro
おおい|N5|waller
おくさん|N5|waller
おじいさん|N5|waller
おととい|N5|waller
おととし|N5|waller
おはよう|N5|bunpro-o
おはようございます|N5|bunpro-o
お休み|N5|bunpro-o
お元気で|N5|bunpro-o
お土産|N5|bunpro-o
お地蔵さん|N5|bunpro-o
お大事に|N5|bunpro-o
お寺|N5|bunpro-o
お巡りさん|N5|bunpro-o
お帰りなさい|N5|bunpro-o
お正月|N5|bunpro-o
お礼|N5|bunpro-o
お祖母さん|N5|bunpro-o
お祖父さん|N5|bunpro-o
お祭り|N5|bunpro-o
お腹|N5|bunpro-o
お腹が空く|N5|bunpro-o
お返事|N5|bunpro-o
お金持ち|N5|bunpro-o
お願いします|N5|bunpro-o
お風呂に入る|N5|bunpro-o
き|N5|waller
くしゃみ|N5|bunpro
この間|N5|bunpro
この頃|N5|bunpro
これから|N5|bunpro
こんにちは|N5|bunpro
ごめんなさい|N5|bunpro
ご馳走|N5|bunpro
さようなら|N5|bunpro
さん|N5|bunpro
し|N5|waller
それに|N5|bunpro
だから|N5|bunpro
と|N5|waller
ところで|N5|bunpro
どんな|N5|bunpro
びっくり|N5|bunpro
ぶどう|N5|bunpro
まあまあ|N5|bunpro
もう直ぐ|N5|bunpro-o
もちろん|N5|bunpro
ゆっくり|N5|bunpro
よろしくお願いします|N5|bunpro-o
アイスクリーム|N5|bunpro
アメリカ|N5|bunpro
アルバイト|N5|bunpro
アンケート|N5|bunpro
オレンジ|N5|bunpro
カーテン|N5|bunpro
キャンプ|N5|bunpro
グレー|N5|bunpro
ケーキ|N5|bunpro
ゲーム|N5|bunpro
コピー|N5|bunpro
コレクション|N5|bunpro
コンサート|N5|bunpro
コンセント|N5|bunpro
コンピューター|N5|bunpro
コーチ|N5|bunpro
サボる|N5|bunpro
サラダ|N5|bunpro
サークル|N5|bunpro
シリーズ|N5|bunpro
ジャンル|N5|bunpro
ジャーナリスト|N5|bunpro
ジュース|N5|bunpro
スイッチ|N5|bunpro
スキー|N5|bunpro
ステーキ|N5|bunpro
ストレス|N5|bunpro
スーツ|N5|bunpro
デート|N5|bunpro
ドライブ|N5|bunpro
バンド|N5|bunpro
パソコン|N5|bunpro
ビル|N5|bunpro
ビール|N5|bunpro
ピアノ|N5|bunpro
ホーム|N5|bunpro
ママ|N5|bunpro
メニュー|N5|bunpro
リットル|N5|bunpro
レジ|N5|bunpro
レポート|N5|bunpro
ワイン|N5|bunpro
ヶ月|N5|bunpro
一番|N5|bunpro
丁寧|N5|bunpro
下痢|N5|bunpro
下着|N5|bunpro
不味い|N5|waller
世界|N5|bunpro
丸|N5|bunpro
主婦|N5|bunpro
乾杯|N5|bunpro
予約|N5|bunpro
事|N5|bunpro
人口|N5|bunpro
人気|N5|bunpro
今度|N5|bunpro
他|N5|bunpro
付ける|N5|waller
代|N5|bunpro
以内|N5|bunpro
会|N5|bunpro
会話|N5|bunpro
会議|N5|bunpro
住|N5|bunpro
住所|N5|bunpro
何の|N5|waller
何時|N5|waller
作|N5|bunpro
作家|N5|bunpro
例|N5|bunpro
信号|N5|bunpro
側|N5|waller
働|N5|bunpro
僕|N5|bunpro
優|N5|bunpro
先輩|N5|bunpro
全然|N5|bunpro
公開|N5|bunpro
其処|N5|waller
内科|N5|bunpro
円|N5|bunpro
再来年|N5|bunpro
再来月|N5|bunpro
再来週|N5|bunpro
出身|N5|bunpro
分|N5|bunpro
初|N5|bunpro
別|N5|bunpro
力|N5|bunpro
動物園|N5|bunpro
単語|N5|bunpro
危険|N5|bunpro
受付|N5|bunpro
古|N5|bunpro
可哀想|N5|bunpro
合う|N5|bunpro-o
同|N5|bunpro
咳|N5|bunpro
嘘|N5|bunpro
城|N5|bunpro
塾|N5|bunpro
売店|N5|bunpro
外科|N5|bunpro
多分|N5|bunpro
夢|N5|bunpro
大|N5|bunpro
大事|N5|bunpro
大変|N5|bunpro
大学生|N5|bunpro
大抵|N5|bunpro
天|N5|bunpro
天気予報|N5|bunpro
奥|N5|bunpro
女の人|N5|bunpro-o
如何|N5|waller
